Modelo,Arquivos,LOC_Media,Reducao_LOC_Pct,CC_Media_Arquivo,Decisoes_Media_Arquivo,Reducao_Decisoes_Pct,CC_Mediana_Funcao_Media,CC_Maxima_Media,Cognitiva_Media_Arquivo,Cognitiva_Maxima_Media,Maior_Funcao_LOC_Media,Aninhamento_Maximo_Medio,Duplicacao_Media_Pct,Ocorrencias_Funcao_Longa,Ocorrencias_CC_Alta,Ocorrencias_Cognitiva_Alta,Ocorrencias_Aninhamento,Ocorrencias_Arquivo_Grande,Ocorrencias_Duplicacao,Code_Smells_Total,Reducao_CC_Pct,Reducao_Cognitiva_Pct,Reducao_Smells_Pct,Diagnosticos_Sintaticos
Original,20,257.3,0,30.25,12.4,0,1.1,6.25,14.7,7,192.55,2.05,31.49,24,3,1,3,5,18,54,0,0,0,0
Gemini,20,244.25,5.07,29.25,12.65,-2.02,1.1,5.25,13.6,5.05,144.8,1.55,26.29,27,0,0,3,6,17,53,3.31,7.48,1.85,0
DeepSeek,20,260.8,-1.36,30.6,12.25,1.21,1.1,5.6,13.45,5.5,121.45,1.65,31.45,32,2,0,2,5,18,59,-1.16,8.5,-9.26,0
Mistral,20,267.1,-3.81,33,11.35,8.47,1.05,4.4,12.35,4.35,132.4,1.6,33.04,28,0,0,3,5,20,56,-9.09,15.99,-3.7,0
