Modelo,Repositorio,Arquivo,Status_Teste,Delta_LOC,Reducao_LOC_Pct,Delta_CC,Reducao_CC_Pct,Delta_Decisoes,Reducao_Decisoes_Pct,Delta_Cognitiva,Reducao_Cognitiva_Pct,Delta_Maior_Funcao_LOC,Delta_Aninhamento_Maximo,Delta_Duplicacao_Tokens_Pct,Delta_Funcao_Longa,Delta_CC_Alta,Delta_Cognitiva_Alta,Delta_Aninhamento,Delta_Arquivo_Grande,Delta_Duplicacao,Delta_Soma_Smells
DeepSeek,TakeNote,TakeNote_NoteList.tsx,PASS,66,-31.73,3,-5,0,0,0,0,-65,0,3.8400000000000034,0,0,0,0,0,0,0
DeepSeek,TakeNote,TakeNote_NoteMenuBar.tsx,PASS,19,-13.1,1,-3.33,0,0,0,0,1,0,-3.8100000000000023,0,0,0,0,0,0,0
DeepSeek,TakeNote,TakeNote_PreviewEditor.tsx,PASS,-5,10.42,-4,33.33,0,0,-3,42.86,-11,-1,-3.8999999999999986,0,0,0,0,0,0,0
DeepSeek,TakeNote,TakeNote_SettingsModal.tsx,PASS,24,-9.06,-2,5.41,-1,9.09,-1,9.09,-72,0,1.730000000000004,1,0,0,0,0,0,1
DeepSeek,TakeNote,TakeNote_TakeNoteApp.tsx,PASS,1,-1.18,-3,20,0,0,0,0,-14,0,-13.489999999999998,-1,0,0,0,0,0,-1
Mistral,ReactAdmin,ReactAdmin_AddUser.js,PASS,-62,10.49,2,-4.55,-5,20,-11,39.29,-260,-2,2.870000000000001,4,-1,-1,0,0,0,2
Mistral,ReactAdmin,ReactAdmin_Dashboard.js,FAIL,-71,7.16,11,-16.92,-1,3.57,-2,5.71,-524,0,-1.1199999999999974,5,0,0,0,0,0,5
Mistral,ReactAdmin,ReactAdmin_Ecommerce.js,PASS,-40,7.04,0,0,-2,7.14,-3,8.57,-32,0,-1.9600000000000009,0,0,0,0,0,0,0
Mistral,ReactAdmin,ReactAdmin_Products.js,PASS,-131,23.35,12,-150,-2,40,-2,40,-226,0,-20.14,0,0,0,0,0,0,0
Mistral,ReactAdmin,ReactAdmin_UserList.js,PASS,-84,16.67,-1,1.64,-4,14.29,-4,11.76,-66,0,-7.6800000000000015,-1,0,0,0,0,0,-1
Mistral,TakeNote,TakeNote_App.tsx,PASS,4,-7.55,2,-40,0,0,0,0,-26,0,-6.41,0,0,0,0,0,0,0
Mistral,TakeNote,TakeNote_AppSidebar.tsx,PASS,68,-71.58,7,-63.64,0,0,0,0,-37,0,-19.070000000000007,-1,0,0,0,0,0,-1
Mistral,TakeNote,TakeNote_CategoryList.tsx,PASS,27,-18.49,3,-10,0,0,-1,6.67,23,0,1.1400000000000006,0,0,0,0,0,0,0
Mistral,TakeNote,TakeNote_CategoryOption.tsx,PASS,78,-52,5,-17.24,-1,14.29,-1,14.29,-49,0,-2.6700000000000017,0,0,0,0,0,0,0
Mistral,TakeNote,TakeNote_ContextMenu.tsx,PASS,27,-21.95,1,-4.55,0,0,-1,8.33,-7,-1,1.8999999999999986,0,0,0,0,0,0,0
Mistral,TakeNote,TakeNote_ContextMenuOptions.tsx,PASS,9,-5.23,-7,20,0,0,-3,21.43,5,-2,5.210000000000001,0,0,0,0,0,0,0
Mistral,TakeNote,TakeNote_FolderOption.tsx,PASS,9,-11.25,-1,8.33,-2,50,-4,66.67,-5,-1,16.64,0,0,0,0,0,0,0
Mistral,TakeNote,TakeNote_KeyboardShortcuts.tsx,PASS,76,-80.85,-3,8.82,1,-14.29,1,-14.29,-8,0,-1.1199999999999974,0,0,0,0,0,0,0
Mistral,TakeNote,TakeNote_LandingPage.tsx,PASS,30,-18.75,8,-200,0,0,0,0,-90,0,28.57,0,0,0,0,0,1,1
Mistral,TakeNote,TakeNote_NoteEditor.tsx,PASS,17,-15.89,0,0,-1,7.69,-4,23.53,-36,-1,9.970000000000002,-1,0,0,0,0,1,0
Mistral,TakeNote,TakeNote_NoteList.tsx,PASS,74,-35.58,8,-13.33,0,0,-3,7.69,66,0,20.17,-1,-2,0,0,0,0,-3
Mistral,TakeNote,TakeNote_NoteMenuBar.tsx,PASS,66,-45.52,8,-26.67,0,0,-2,16.67,64,-1,17.709999999999994,0,0,0,0,0,0,0
Mistral,TakeNote,TakeNote_PreviewEditor.tsx,PASS,33,-68.75,1,-8.33,-2,50,-5,71.43,-10,-1,-10.879999999999999,0,0,0,0,0,0,0
Mistral,TakeNote,TakeNote_SettingsModal.tsx,PASS,23,-8.68,-5,13.51,-2,18.18,-2,18.18,23,0,7.07,0,0,0,0,0,0,0
Mistral,TakeNote,TakeNote_TakeNoteApp.tsx,FAIL,43,-50.59,4,-26.67,0,0,0,0,-8,0,-9.120000000000001,-1,0,0,0,0,0,-1
